,Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
5617,Get the Girl,R,2017,0.0,"Action,Comedy,Crime",87,5.0,0.0
5618,Get the Gringo,R,2012,0.0,"Action,Crime,Drama",96,7.0,0.0
5619,Get to the Heart: The Barbara Mandrell Story,PG,1997,0.0,"Biography,Drama,Music",93,5.7,0.0
5620,Getaway,PG-13,2013,10.49,"Action,Thriller",90,4.4,23513.0
5621,Getting Away with Murder,R,1996,0.2,Comedy,91,4.7,1247.0
5622,Getting Even with Dad,PG,1994,18.44,"Comedy,Crime,Family",109,4.8,7670.0
5623,Getting Gotti,R,1994,0.0,"Crime,Drama",89,5.0,0.0
5624,Getting Grace,PG-13,2017,0.22,"Comedy,Drama",112,7.4,381.0
5625,Getting In,R,1994,0.0,"Comedy,Romance,Thriller",94,5.4,0.0
5626,Getting Out,R,2015,0.0,"Crime,Drama",81,5.1,0.0
5627,Getting Personal,R,1998,0.0,"Romance,Comedy,Mystery",0,4.9,0.0
5628,Getting Played,PG-13,2006,0.0,"Comedy,Romance",84,4.7,0.0
5629,Getting There,G,2002,0.0,"Comedy,Family",90,4.8,0.0
5630,Getting Up and Going Home,PG-13,1992,0.0,"Drama,Romance",92,6.3,0.0
5631,Gettysburg,PG,1993,10.77,"Drama,History,War",271,7.6,27722.0
5632,Gettysburg: The Final Measure of Devotion,PG,2013,0.0,Action,60,6.5,0.0
5633,Ghetto Dawg,R,2002,0.0,Drama,0,4.5,0.0
5634,Ghetto Dawg 2,R,2005,0.0,Drama,0,5.9,0.0
5635,Ghetto Physics,R,2010,0.01,Drama,94,5.9,67.0
5636,Ghetto Rhapsody,R,2001,0.0,N/A,85,6.8,0.0
5637,Ghost,PG-13,1990,217.63,"Drama,Fantasy,Romance",127,7.1,203130.0
5638,Ghost Dad,PG,1990,24.71,"Comedy,Family,Fantasy",83,4.4,7638.0
5639,Ghost Dog: A Detective Tail,PG,2003,0.0,"Action,Family,Fantasy",85,4.4,0.0
5640,Ghost Dog: The Way of the Samurai,R,1999,3.31,"Action,Crime,Drama",116,7.5,87516.0
5641,Ghost Image,PG-13,2007,0.0,Thriller,96,4.6,0.0
5642,Ghost Phone: Phone Calls from the Dead,PG-13,2011,0.0,"Comedy,Mystery",84,6.5,0.0
5643,Ghost Rider,PG-13,2007,115.8,"Action,Fantasy,Thriller",110,5.3,227619.0
5644,Ghost Rider: Spirit of Vengeance,PG-13,2011,51.77,"Action,Fantasy,Thriller",96,4.3,113376.0
5645,Ghost Ship,PG,1992,0.0,"Adventure,Family",93,4.6,0.0
5646,Ghost Ship,R,2002,30.11,Horror,91,5.5,95798.0
5647,Ghost Team,PG-13,2016,0.01,"Comedy,Thriller",83,4.7,1920.0
5648,Ghost Team One,R,2013,0.0,"Comedy,Horror",84,4.3,0.0
5649,Ghost Town,PG-13,2008,13.21,"Comedy,Drama,Fantasy",102,6.7,71246.0
5650,Ghost Town: The Movie,R,2007,0.03,Western,115,4.1,372.0
5651,Ghost World,R,2001,6.22,"Comedy,Drama",111,7.3,116271.0
5652,Ghost in the Machine,R,1993,5.09,"Horror,Sci-Fi,Thriller",95,4.6,3480.0
5653,Ghost in the Shell,PG-13,2017,40.56,"Action,Crime,Drama",107,6.3,202642.0
5654,Ghost of the Mountains,G,2017,0.0,Documentary,78,6.9,0.0
5655,Ghost of the Needle,R,2003,0.0,"Horror,Thriller",86,4.6,0.0
5656,GhostWatcher,R,2002,0.0,"Horror,Mystery,Sci-Fi",94,4.1,0.0
5657,GhostWatcher 2,R,2005,0.0,"Drama,Horror",90,5.1,0.0
5658,Ghostbusters: Answer the Call,PG-13,2016,128.34,"Action,Comedy,Fantasy",117,6.7,209526.0
5659,Ghosts Behind the Screen,PG-13,2017,0.0,"Documentary,Drama,History",72,6.5,0.0
5660,Ghosts Never Sleep,R,2005,0.0,Drama,85,4.6,0.0
5661,Ghosts of Girlfriends Past,PG-13,2009,55.25,"Comedy,Fantasy,Romance",100,5.8,86388.0
5662,Ghosts of Mars,R,2001,8.43,"Action,Horror,Sci-Fi",98,4.9,52223.0
5663,Ghosts of Mississippi,PG-13,1996,13.05,"Drama,History",130,6.7,10476.0
5664,Ghosts of the Abyss,G,2003,17.09,"Documentary,Family",61,6.8,5118.0
5665,Ghoulies Go to College,R,1990,0.0,"Comedy,Fantasy,Horror",94,4.0,0.0
5666,Gia,R,1998,0.0,"Biography,Drama,Romance",120,7.0,0.0
5667,Giant Little Ones,R,2018,0.18,Drama,93,7.2,6596.0
5668,Gibby,G,2013,0.0,"Comedy,Family",30,8.5,0.0
5669,Gift of the Hoopoe,G,2009,0.0,"Animation,Short",23,6.5,0.0
5670,Gifted,PG-13,2017,24.8,Drama,101,7.6,105491.0
5671,Gig,PG-13,2008,0.0,"Short,Action",5,7.1,0.0
5672,Gigantic,R,2008,0.1,"Comedy,Drama,Romance",98,6.0,9489.0
5673,Gigantour,R,2006,0.0,Music,85,8.4,0.0
5674,Gimme Danger,R,2016,0.44,"Documentary,Music",108,7.2,5254.0
5675,Gimme Shelter,PG-13,2013,1.36,Drama,101,6.5,8421.0
5676,Ginostra,R,2002,0.0,"Crime,Drama",139,4.6,0.0
5677,Girl,R,1998,0.0,"Comedy,Drama,Music",99,5.8,0.0
5678,Girl 6,R,1996,4.9,"Comedy,Drama",108,5.2,6021.0
5679,Girl Crazy,PG,1997,0.0,Romance,87,5.7,0.0
5680,Girl Fever,R,2002,0.0,"Comedy,Romance",98,5.0,0.0
5681,Girl Lost: A Hollywood Story,R,2020,0.0,Drama,90,6.0,0.0
5682,Girl Most Likely,PG-13,2012,1.38,Comedy,103,5.8,15011.0
5683,Girl Rising,PG-13,2013,0.0,"Documentary,Drama",101,7.1,0.0
5684,Girl Trip,R,2018,0.0,"Comedy,Horror,Thriller",20,7.8,0.0
5685,Girl Walks Into a Bar,R,2011,0.0,"Comedy,Drama,Romance",80,5.7,0.0
5686,Girl Who Never Grew,G,2008,0.0,Documentary,60,5.8,0.0
5687,Girl for Girl,R,2001,0.0,Drama,87,4.8,0.0
5688,Girl in Progress,PG-13,2012,2.59,"Comedy,Drama",93,5.6,6632.0
5689,Girl in the Cadillac,R,1995,0.0,"Adventure,Crime,Drama",89,5.6,0.0
5690,Girl with a Pearl Earring,PG-13,2003,11.63,"Biography,Drama,Romance",100,6.9,74998.0
5691,"Girl, Interrupted",R,1999,28.87,"Biography,Drama",127,7.3,170688.0
5692,Girlfight,R,2000,1.52,"Drama,Sport",110,6.7,10605.0
5693,Girls Against Boys,R,2012,0.01,"Drama,Horror,Thriller",93,4.8,3533.0
5694,Girls Rock!,PG,2007,0.16,"Documentary,Music",90,6.9,161.0
5695,Girls Room,PG,2007,0.0,"Short,Comedy",10,6.8,0.0
5696,Girls Town,R,1996,0.4,"Comedy,Drama",90,6.4,740.0
5697,Girls Trip,R,2017,115.17,"Adventure,Comedy,Drama",122,6.2,35538.0
5698,Girls Will Be Girls,R,2003,0.15,"Comedy,Romance",79,7.0,1416.0
5699,Girls in Prison,R,1994,0.0,"Crime,Drama,Thriller",83,4.8,0.0
5700,Giuseppe,PG,2009,0.0,"Short,Comedy",0,4.3,0.0
5701,Give 'em Hell Malone,R,2009,0.0,"Action,Crime,Thriller",96,5.9,0.0
5702,Giving It Up,R,1999,0.0,"Comedy,Romance",90,4.4,0.0
5703,Giving Voice,PG-13,2020,0.0,Documentary,87,6.7,0.0
5704,Gladiator,R,1992,9.22,"Action,Drama,Sport",101,6.5,8620.0
5705,Gladiator,R,2000,187.71,"Action,Adventure,Drama",155,8.5,1381627.0
5706,Glago's Guest,G,2008,0.0,"Animation,Short,Family",7,7.5,0.0
5707,Glass,PG-13,2019,111.05,"Drama,Sci-Fi,Thriller",129,6.6,219600.0
5708,Glass House: The Good Mother,R,2006,0.0,"Crime,Drama,Horror",94,5.6,0.0
5709,Glastonbury,R,2006,0.01,"Documentary,Music",138,6.6,895.0
5710,Gleason,R,2016,0.58,Documentary,110,8.3,2712.0
5711,Glee: The 3D Concert Movie,PG,2011,11.86,"Documentary,Music",84,5.5,5717.0
5712,Glen Campbell: I'll Be Me,PG,2014,0.37,"Documentary,Biography,Family",104,8.0,1539.0
5713,Glengarry Glen Ross,R,1992,10.73,"Crime,Drama,Mystery",100,7.7,99513.0
5714,Glenn Miller's Last Flight,PG,2000,0.0,"Documentary,Biography,History",57,7.0,0.0
5715,Glimpse,R,2015,0.0,"Drama,Mystery,Thriller",80,4.4,0.0
5716,Gloria,R,1999,4.16,"Crime,Drama,Thriller",108,5.2,5591.0
5717,Gloria Bell,R,2018,5.61,"Comedy,Drama,Music",102,6.3,10177.0
5718,Gloria Estefan's Caribbean Soul: The Atlantis Concert,G,2000,0.0,"Documentary,Music",52,7.0,0.0
5719,Glorious,PG-13,2016,0.0,"Biography,Crime,Drama",96,6.4,0.0
5720,Glory Daze,R,1995,0.0,Comedy,100,5.6,0.0
5721,Glory Road,PG,2006,42.64,"Biography,Drama,Sport",118,7.2,44125.0
5722,Gnome Alone,PG,2017,0.0,"Animation,Adventure,Comedy",85,5.6,0.0
5723,Gnomeo & Juliet,G,2011,99.97,"Animation,Adventure,Comedy",84,5.9,53579.0
5724,Go,R,1999,16.84,"Comedy,Crime",102,7.2,69226.0
5725,Go Fish,R,1994,2.41,"Comedy,Drama,Romance",83,5.6,2042.0
5726,Go Tigers!,R,2001,0.15,"Documentary,Sport",103,7.2,805.0
5727,Go for Broke,R,2002,0.0,Comedy,94,5.2,0.0
5728,Blackway,R,2015,0.02,Thriller,90,5.3,9375.0
5729,Goal! The Dream Begins,PG,2005,4.28,"Adventure,Drama,Romance",118,6.7,61294.0
5730,Goat,R,2016,0.02,Drama,96,5.7,7507.0
5731,Smiling Fish & Goat on Fire,R,1999,0.28,"Comedy,Romance",90,7.5,2675.0
5732,Goats,R,2012,0.0,Comedy,94,5.9,0.0
5733,God Bless America,R,2011,0.12,"Comedy,Crime,Drama",105,7.2,68463.0
5734,God Bless the Broken Road,PG,2018,2.85,"Drama,Family,Romance",111,5.6,959.0
5735,God Don't Make the Laws,R,2011,0.0,Drama,100,4.3,0.0
5736,God Grew Tired of Us,PG,2006,0.28,Documentary,89,7.9,2773.0
5737,"God Said, 'Ha!'",PG-13,1998,0.06,"Comedy,Drama",85,7.2,943.0
5738,God the Father,R,2014,0.09,Documentary,101,6.1,642.0
5739,God's Army,PG,2000,2.64,Drama,108,6.4,1055.0
5740,God's Ears,PG-13,2008,0.0,Drama,117,8.0,0.0
5741,God's Game,R,2009,0.0,Thriller,87,7.1,0.0
5742,God's Not Dead,PG,2014,60.76,Drama,113,4.7,41227.0
5743,God's Not Dead 2,PG,2016,20.77,Drama,120,4.4,11749.0
5744,God's Not Dead: A Light in Darkness,PG,2018,5.73,Drama,105,4.5,3521.0
5745,God's Pocket,R,2014,0.1,"Crime,Drama",88,6.1,11027.0
5746,"God, Sex & Apple Pie",R,1998,0.0,"Comedy,Drama,Romance",97,4.4,0.0
5747,Godfrey: Black by Accident,PG,2011,0.0,Comedy,42,6.7,0.0
5748,Godmoney,R,1999,0.0,"Crime,Drama,Thriller",99,4.6,0.0
5749,Godmothered,PG,2020,0.0,"Comedy,Drama,Family",110,6.1,0.0
5750,Gods and Generals,PG-13,2003,12.87,"Biography,Drama,History",219,6.3,15693.0
5751,Gods and Generals: Journey to the Past,PG-13,2003,0.0,"Documentary,Short",0,6.2,0.0
5752,Gods and Monsters,R,1998,6.39,"Biography,Drama",105,7.4,29838.0
5753,Gods of Egypt,PG-13,2016,31.15,"Action,Adventure,Fantasy",127,5.4,109705.0
5754,Godsend,PG-13,2004,14.38,"Drama,Fantasy,Horror",102,4.8,25142.0
5755,Godzilla,PG-13,1998,136.31,"Action,Sci-Fi,Thriller",139,5.4,186855.0
5756,Godzilla,PG-13,2014,200.68,"Action,Adventure,Sci-Fi",123,6.4,394754.0
5757,Godzilla: King of the Monsters,PG-13,2019,110.5,"Action,Adventure,Fantasy",132,6.0,162257.0
5758,Going All the Way,R,1997,0.09,"Comedy,Drama,Romance",103,5.7,1876.0
5759,Going Greek,R,2001,0.0,"Comedy,Drama,Romance",90,4.7,0.0
5760,Going Shopping,PG-13,2005,0.0,"Drama,Romance",106,5.2,0.0
5761,Going Upriver,PG-13,2004,0.61,"Documentary,Biography,History",87,7.6,864.0
5762, The Suite Life of Zack & Cody,G,2005–2008,0.0,"Comedy,Family",22,7.8,0.0
5763,Going in Style,PG-13,2017,45.0,"Comedy,Crime",96,6.6,79334.0
5764,Going the Distance,R,2010,17.8,"Comedy,Romance",102,6.3,57206.0
5765,Going to the Mat,G,2004,0.0,"Drama,Family,Sport",92,6.9,0.0
5766,Goku vs Superman: The Animated Movie,PG-13,2016,0.0,Action,14,8.3,0.0
5767,Gold,R,2016,7.22,"Crime,Drama",120,6.7,59755.0
5768,Gold Coast,R,1997,0.0,Drama,109,5.6,0.0
5769,Gold Diggers: The Secret of Bear Mountain,PG,1995,6.03,"Adventure,Drama,Family",93,6.0,4274.0
5770,Golden Exits,R,2017,0.04,Drama,94,5.7,2028.0
5771,Golden Gate,R,1993,0.4,"Crime,Drama",91,5.3,813.0
5772,GoldenEye,PG-13,1995,106.6,"Action,Adventure,Thriller",130,7.2,243386.0
5773,Golf Punks,PG,1998,0.0,"Comedy,Family,Sport",93,4.1,0.0
5774,Golf in the Kingdom,PG,2010,0.0,Drama,86,5.2,0.0
5775,Golfballs!,R,1999,0.0,"Comedy,Romance,Sport",86,4.0,0.0
5776,Gone,PG-13,2011,0.0,Documentary,85,6.6,0.0
5777,Gone,PG-13,2012,11.65,"Action,Adventure,Mystery",94,5.9,42967.0
5778,Gone Are The Days,R,2018,0.0,"Drama,Western",99,5.2,0.0
5779,Gone Baby Gone,R,2007,20.3,"Crime,Drama,Mystery",114,7.6,258832.0
