Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
9,PG-13,2009,31.74,"Animation,Action,Adventure",79,7.1,135332.0,30.0,5.7999999999999945
90 Minutes in Heaven,PG-13,2015,4.7,Drama,121,4.8,3516.0,5.0,-5.9999999999999964
90 Minutes in Heaven,PG-13,2015,4.7,Drama,121,4.8,3524.0,5.0,-5.9999999999999964
A Bad Moms Christmas,R,2017,72.11,Comedy,104,5.6,46409.0,28.0,157.53571428571428
A Bad Moms Christmas,R,2017,72.11,Comedy,104,5.6,46428.0,28.0,157.53571428571428
A Beautiful Mind,PG-13,2001,170.74,"Biography,Drama",135,8.2,872206.0,78.0,118.89743589743591
A Beautiful Mind,PG-13,2001,170.74,"Biography,Drama",135,8.2,872332.0,78.0,118.89743589743591
A Better Life,PG-13,2011,1.76,"Drama,Romance",98,7.2,15534.0,10.0,-82.4
A Better Life,PG-13,2011,1.76,"Drama,Romance",98,7.2,15546.0,10.0,-82.4
A Bug's Life,G,1998,162.8,"Animation,Adventure,Comedy",95,7.2,274448.0,45.0,261.77777777777777
A Bug's Life,G,1998,162.8,"Animation,Adventure,Comedy",95,7.2,274658.0,45.0,261.77777777777777
A Cinderella Story,PG,2004,51.44,"Comedy,Family,Romance",95,5.9,82717.0,19.0,170.73684210526315
A Cinderella Story,PG,2004,51.44,"Comedy,Family,Romance",95,5.9,82734.0,19.0,170.73684210526315
A Civil Action,PG-13,1998,56.7,Drama,115,6.6,28013.0,60.0,-5.499999999999996
A Civil Action,PG-13,1998,56.7,Drama,115,6.6,28025.0,60.0,-5.499999999999996
A Dangerous Method,R,2011,5.7,"Biography,Drama,Romance",99,6.4,100295.0,20.0,-71.50000000000001
A Dangerous Method,R,2011,5.7,"Biography,Drama,Romance",99,6.4,100314.0,20.0,-71.50000000000001
A Dog of Flanders,PG,1999,2.15,"Family,Drama",100,6.3,900.0,7.0,-69.28571428571428
A Dog of Flanders,PG,1999,2.15,"Family,Drama",100,6.3,904.0,7.0,-69.28571428571428
A Few Good Men,R,1992,141.34,"Drama,Thriller",138,7.7,243499.0,33.0,328.3030303030303
A Few Good Men,R,1992,141.34,"Drama,Thriller",138,7.7,243606.0,33.0,328.3030303030303
A Fine Step,PG,2014,22.53,Drama,111,5.3,51491.0,1.0,-100.0
A Fine Step,PG,2014,22.53,Drama,111,5.3,51491.0,1.0,-100.0
A Ghost Story,R,2017,1.6,"Drama,Fantasy,Romance",92,6.9,63996.0,0.1,1500.0
A Ghost Story,R,2017,1.6,"Drama,Fantasy,Romance",92,6.9,64020.0,0.1,1500.0
A Good Day to Die Hard,R,2013,67.35,"Action,Thriller",98,5.3,200826.0,92.0,-26.79347826086957
A Good Day to Die Hard,R,2013,67.35,"Action,Thriller",98,5.3,200851.0,92.0,-26.79347826086957
A Good Year,PG-13,2006,7.46,"Comedy,Drama,Romance",117,7.0,90726.0,35.0,-78.68571428571428
A Good Year,PG-13,2006,7.46,"Comedy,Drama,Romance",117,7.0,90747.0,35.0,-78.68571428571428
A Guy Thing,PG-13,2003,15.41,"Comedy,Romance",101,5.6,16872.0,20.0,-22.95
A Guy Thing,PG-13,2003,15.41,"Comedy,Romance",101,5.6,16876.0,20.0,-22.95
A Haunted House,R,2013,40.04,"Comedy,Fantasy",86,5.0,44794.0,2.5,1501.6
A Haunted House,R,2013,40.04,"Comedy,Fantasy",86,5.0,44806.0,2.5,1501.6
A Haunted House 2,R,2014,17.33,"Comedy,Fantasy",86,4.7,20418.0,4.0,333.24999999999994
A Haunted House 2,R,2014,17.33,"Comedy,Fantasy",86,4.7,20426.0,4.0,333.24999999999994
A History of Violence,R,2005,31.49,"Drama,Thriller",96,7.4,228243.0,32.0,-1.5937500000000049
A History of Violence,R,2005,31.49,"Drama,Thriller",96,7.4,228277.0,32.0,-1.5937500000000049
A Hologram for the King,R,2016,4.2,"Comedy,Drama,Romance",98,6.1,41988.0,35.0,-88.0
A Hologram for the King,R,2016,4.2,"Comedy,Drama,Romance",98,6.1,41998.0,35.0,-88.0
A Home at the End of the World,R,2004,1.03,"Drama,Romance",97,6.7,13316.0,6.5,-84.15384615384615
A Home at the End of the World,R,2004,1.03,"Drama,Romance",97,6.7,13326.0,6.5,-84.15384615384615
A League of Their Own,PG,1992,107.53,"Comedy,Drama,Sport",128,7.3,97290.0,40.0,168.825
A League of Their Own,PG,1992,107.53,"Comedy,Drama,Sport",128,7.3,97328.0,40.0,168.825
A Little Bit of Heaven,PG-13,2011,0.01,"Comedy,Drama,Fantasy",106,6.3,28091.0,12.5,-99.92
A Little Bit of Heaven,PG-13,2011,0.01,"Comedy,Drama,Fantasy",106,6.3,28100.0,12.5,-99.92
A Lot Like Love,PG-13,2005,21.84,"Comedy,Drama,Romance",107,6.6,67989.0,25.0,-12.64
A Lot Like Love,PG-13,2005,21.84,"Comedy,Drama,Romance",107,6.6,67997.0,25.0,-12.64
A Low Down Dirty Shame,R,1994,29.39,"Action,Comedy,Crime",108,6.0,6814.0,10.0,193.9
A Low Down Dirty Shame,R,1994,29.39,"Action,Comedy,Crime",108,6.0,6822.0,10.0,193.9
A Man Apart,R,2003,26.18,"Action,Crime,Drama",109,6.1,45922.0,36.0,-27.27777777777778
A Man Apart,R,2003,26.18,"Action,Crime,Drama",109,6.1,45938.0,36.0,-27.27777777777778
A Midnight Clear,R,1992,1.53,"Drama,War",108,7.2,8583.0,5.0,-69.39999999999999
A Midnight Clear,R,1992,1.53,"Drama,War",108,7.2,8595.0,5.0,-69.39999999999999
A Mighty Heart,R,2007,9.18,"Biography,Drama,History",108,6.6,27074.0,15.0,-38.800000000000004
A Mighty Heart,R,2007,9.18,"Biography,Drama,History",108,6.6,27085.0,15.0,-38.800000000000004
A Mighty Wind,PG-13,2003,17.51,"Comedy,Music",91,7.2,26677.0,6.0,191.83333333333337
A Mighty Wind,PG-13,2003,17.51,"Comedy,Music",91,7.2,26689.0,6.0,191.83333333333337
A Monster Calls,PG-13,2016,3.73,"Adventure,Drama,Family",108,7.5,83588.0,43.0,-91.32558139534885
A Monster Calls,PG-13,2016,3.73,"Adventure,Drama,Family",108,7.5,83603.0,43.0,-91.32558139534885
A Most Violent Year,R,2014,5.74,"Action,Crime,Drama",125,7.0,68372.0,20.0,-71.3
A Most Violent Year,R,2014,5.74,"Action,Crime,Drama",125,7.0,68382.0,20.0,-71.3
A Most Wanted Man,R,2014,17.24,"Crime,Drama,Thriller",122,6.8,73867.0,15.0,14.933333333333323
A Most Wanted Man,R,2014,17.24,"Crime,Drama,Thriller",122,6.8,73878.0,15.0,14.933333333333323
A Night at the Roxbury,PG-13,1998,30.32,"Comedy,Music,Romance",82,6.2,58247.0,17.0,78.3529411764706
A Night at the Roxbury,PG-13,1998,30.32,"Comedy,Music,Romance",82,6.2,58259.0,17.0,78.3529411764706
A Nightmare on Elm Street,R,2010,63.08,"Crime,Drama,Horror",95,5.2,94778.0,35.0,80.22857142857143
A Nightmare on Elm Street,R,2010,63.08,"Crime,Drama,Horror",95,5.2,94778.0,1.8,3404.4444444444443
A Nightmare on Elm Street,R,2010,63.08,"Crime,Drama,Horror",95,5.2,94799.0,35.0,80.22857142857143
A Nightmare on Elm Street,R,2010,63.08,"Crime,Drama,Horror",95,5.2,94799.0,1.8,3404.4444444444443
A Perfect Getaway,R,2009,15.48,"Drama,Mystery,Thriller",98,6.5,69315.0,14.0,10.571428571428575
A Perfect Getaway,R,2009,15.48,"Drama,Mystery,Thriller",98,6.5,69335.0,14.0,10.571428571428575
A Prairie Home Companion,PG-13,2006,20.34,"Comedy,Drama,Music",105,6.7,22251.0,10.0,103.4
A Prairie Home Companion,PG-13,2006,20.34,"Comedy,Drama,Music",105,6.7,22262.0,10.0,103.4
A Quiet Place,PG-13,2018,188.02,"Drama,Horror,Sci-Fi",90,7.5,461390.0,17.0,1006.0
A Quiet Place,PG-13,2018,188.02,"Drama,Horror,Sci-Fi",90,7.5,461788.0,17.0,1006.0
A Scanner Darkly,R,2006,5.5,"Animation,Crime,Drama",100,7.1,108146.0,20.0,-72.5
A Scanner Darkly,R,2006,5.5,"Animation,Crime,Drama",100,7.1,108166.0,20.0,-72.5
A Serious Man,R,2009,9.19,"Comedy,Drama",106,7.1,136773.0,7.0,31.285714285714278
A Serious Man,R,2009,9.19,"Comedy,Drama",106,7.1,136803.0,7.0,31.285714285714278
A Simple Favor,R,2018,53.55,"Comedy,Crime,Mystery",117,6.8,136442.0,20.0,167.74999999999997
